id,record_kind,title_en,title_ms,category_en,subcategory_en,source_agencies,frequency,api_available,opendosm_api_available,field_count,data_begin_year,data_end_year,last_updated,next_update,official_page
air_pollution,catalogue_dataset,Monthly Air Pollution,Pencemaran Udara Bulanan,Environment,Pollution,JAS | DOSM,MONTHLY,true,true,3,2017,2022,2023-11-27 12:00,2024-11-27 12:00,https://data.gov.my/data-catalogue/air_pollution
almanak_astronomi,catalogue_dataset,Astronomy Almanac ,Almanak Astronomi,Data Dictionaries,Other,MYSA,DAILY,true,false,3,2022,2026,2026-04-23 16:10:38.307 +08:00,-,https://data.gov.my/data-catalogue/almanak_astronomi
arc_dosm,catalogue_dataset,DOSM's Advance Release Calendar,Kalendar Awalan Keluaran DOSM,Metadata,Site Content,DOSM,DAILY,true,true,12,2026,2026,2026-09-10 07:59,2026-09-11 08:00,https://data.gov.my/data-catalogue/arc_dosm
arrivals,catalogue_dataset,Monthly Arrivals by Nationality & Sex,Kemasukan Bulanan mengikut Kewarganegaraan & Jantina,Demography,Migration,Imigresen,MONTHLY,true,false,5,2020,2024,2024-11-25 16:00,2024-12-25 16:00,https://data.gov.my/data-catalogue/arrivals
arrivals_soe,catalogue_dataset,"Monthly Arrivals by State of Entry, Nationality & Sex","Kemasukan Bulanan mengikut Negeri Pintu Masuk, Kewarganegaraan & Jantina",Demography,Migration,Imigresen,MONTHLY,false,false,6,2020,2024,2024-11-25 16:00,2024-12-25 16:00,https://data.gov.my/data-catalogue/arrivals_soe
bec,catalogue_dataset,Broad Economic Categories (BEC),Kategori Ekonomi Umum (BEC),Data Dictionaries,National,DOSM,INFREQUENT,true,true,4,2008,2008,2026-04-28,-,https://data.gov.my/data-catalogue/bec
births,catalogue_dataset,Daily Live Births,Kelahiran Hidup Harian,Demography,Births,JPN,DAILY,true,false,3,1920,2023,2023-09-09 08:00,—,https://data.gov.my/data-catalogue/births
births_annual,catalogue_dataset,Annual Live Births,Kelahiran Hidup Tahunan,Demography,Births,JPN | DOSM,YEARLY,true,true,3,2000,2024,2025-10-16 12:00,2026-10-15 12:30,https://data.gov.my/data-catalogue/births_annual
births_annual_sex_ethnic,catalogue_dataset,Annual Live Births by Sex & Ethnicity,Kelahiran Hidup Tahunan mengikut Jantina & Etnik,Demography,Births,JPN | DOSM,YEARLY,true,true,5,2000,2023,2025-10-16 12:00,2026-10-15 12:30,https://data.gov.my/data-catalogue/births_annual_sex_ethnic
births_annual_sex_ethnic_state,catalogue_dataset,"Annual Live Births by State, Sex, & Ethnicity","Kelahiran Hidup Tahunan mengikut Negeri, Jantina & Etnik",Demography,Births,JPN | DOSM,YEARLY,true,true,5,2000,2023,2025-10-16 12:00,2026-10-15 12:30,https://data.gov.my/data-catalogue/births_annual_sex_ethnic_state
births_annual_state,catalogue_dataset,Annual Live Births by State,Kelahiran Hidup Tahunan mengikut Negeri,Demography,Births,JPN | DOSM,YEARLY,true,true,4,2000,2024,2025-10-16 12:00,2026-10-15 12:30,https://data.gov.my/data-catalogue/births_annual_state
births_district_sex,catalogue_dataset,Annual Live Births by District & Sex,Kelahiran Hidup Tahunan mengikut Daerah & Jantina,Demography,Births,JPN | DOSM,YEARLY,true,true,6,2020,2024,2025-10-16 12:00,2026-10-16 12:30,https://data.gov.my/data-catalogue/births_district_sex
blood_donations,catalogue_dataset,Daily Blood Donations by Blood Group,Pendermaan Darah Harian mengikut Kumpulan Darah,Healthcare,Healthcare Programs,PDN | MOH,DAILY,true,false,3,2006,2024,2026-09-10 10:00,2026-09-11 10:00,https://data.gov.my/data-catalogue/blood_donations
blood_donations_state,catalogue_dataset,Daily Blood Donations by Blood Group & State,Pendermaan Darah Harian mengikut Kumpulan Darah & Negeri,Healthcare,Healthcare Programs,PDN | MOH,DAILY,true,false,4,2006,2024,2026-09-10 10:00,2026-09-11 10:00,https://data.gov.my/data-catalogue/blood_donations_state
bop_balance,catalogue_dataset,Balance of Key BOP Components,Baki Komponen Utama BOP,National Accounts,Balance of Payments,DOSM,QUARTERLY,true,true,3,2010,2026,2026-08-14 12:00,2026-11-18 12:00,https://data.gov.my/data-catalogue/bop_balance
cellular_subscribers,catalogue_dataset,Cellular Subscribers by Plan Type,Pelanggan Selular Mengikut Jenis Pelan,Communications,Telecommunications,MCMC,ANNUAL,true,false,3,2000,2021,2024-11-26 12:00,2025-12-31 12:00,https://data.gov.my/data-catalogue/cellular_subscribers
completion_school_state,catalogue_dataset,School Completion Rates by State,Kadar Tamat Pengajian Sekolah mengikut Negeri,Education,Education Outcomes,MOE,YEARLY,true,true,5,2016,2022,2024-09-01 12:00,tbc,https://data.gov.my/data-catalogue/completion_school_state
cosmetic_notifications,catalogue_dataset,Notified Cosmetic Products,Produk Komestik Bernotifikasi,Healthcare,Regulation,NPRA | MOH,DAILY,false,false,4,2024,2024,2026-09-08 08:21,2026-09-09 12:00,https://data.gov.my/data-catalogue/cosmetic_notifications
cosmetic_notifications_cancelled,catalogue_dataset,Cancelled Cosmetic Product Notifications,Produk Komestik Dibatalkan Notifikasi,Healthcare,Regulation,NPRA | MOH,DAILY,false,false,5,2024,2024,2026-09-08 08:21,2026-09-09 12:00,https://data.gov.my/data-catalogue/cosmetic_notifications_cancelled
cosmetics_manufacturers,catalogue_dataset,Approved Manufacturers of Cosmetic Products,Pengilang Produk Kosmetik Berlesen,Healthcare,Regulation,NPRA | MOH,DAILY,false,false,4,2024,2024,2026-09-08 08:21,2026-09-09 12:00,https://data.gov.my/data-catalogue/cosmetics_manufacturers
covid_cases,catalogue_dataset,Daily COVID-19 Cases by State,Kes COVID-19 Harian mengikut Negeri,Healthcare,Infectious Diseases,MOH,DAILY,true,false,7,2020,2023,2025-06-01 12:00,2025-06-08 12:00,https://data.gov.my/data-catalogue/covid_cases
covid_cases_age,catalogue_dataset,Daily COVID-19 Cases by Age Group & State,Kes COVID-19 Harian mengikut Kumpulan Umur & Negeri,Healthcare,Infectious Diseases,MOH,DAILY,true,false,16,2020,2023,2025-06-01 12:00,2025-06-08 12:00,https://data.gov.my/data-catalogue/covid_cases_age
covid_cases_vaxstatus,catalogue_dataset,Daily COVID-19 Cases by Vaccination Status & State,Kes COVID-19 Harian mengikut Status Vaksinasi & Negeri,Healthcare,Infectious Diseases,MOH,DAILY,true,false,6,2020,2023,2025-06-01 12:00,2025-06-08 12:00,https://data.gov.my/data-catalogue/covid_cases_vaxstatus
covid_deaths_linelist,catalogue_dataset,Transactional Records: Deaths due to COVID-19,Rekod Transaksi: Kematian disebabkan oleh COVID-19,Healthcare,Infectious Diseases,MOH,DAILY,false,false,15,2020,2024,2025-06-01 12:00,2025-06-08 12:00,https://data.gov.my/data-catalogue/covid_deaths_linelist
cpi_3d,catalogue_dataset,Monthly CPI by Group (3-digit),IHP Bulanan mengikut Kumpulan (3-digit),Prices,Consumer Prices,DOSM,MONTHLY,false,false,3,2010,2026,2026-08-17 16:07,2026-09-18 12:30,https://data.gov.my/data-catalogue/cpi_3d
cpi_4d,catalogue_dataset,Monthly CPI by Class (4-digit),IHP Bulanan mengikut Kelas (4-digit),Prices,Consumer Prices,DOSM,MONTHLY,false,false,3,2010,2026,2026-08-17 16:07,2026-09-18 12:30,https://data.gov.my/data-catalogue/cpi_4d
cpi_5d,catalogue_dataset,Monthly CPI by Subclass (5-digit),IHP Bulanan mengikut Subkelas (5-digit),Prices,Consumer Prices,DOSM,MONTHLY,false,false,3,2010,2026,2026-08-17 16:07,2026-09-18 12:30,https://data.gov.my/data-catalogue/cpi_5d
