id,date_created,title_en,category_en,subcategory_en,title_bm,category_bm,subcategory_bm,source,frequency,geography,demography,dataset_begin,dataset_end
pricecatcher,2023-09-13,PriceCatcher: Transactional Records,Prices,Consumer Prices,PriceCatcher: Rekod Transaksi,Harga,Harga Pengguna,"KPDN, DOSM",DAILY,DISTRICT,,2022,2025
births,2023-09-14,Daily Live Births,Demography,Births,Kelahiran Hidup Harian,Demografi,Kelahiran,JPN,DAILY,NATIONAL,,1920,2023
lookup_item,2023-09-15,PriceCatcher: Item Lookup,Prices,Consumer Prices,PriceCatcher: Jadual Carian Barangan,Harga,Harga Pengguna,"KPDN, DOSM",INFREQUENT,DISTRICT,,2022,2026
lookup_premise,2023-09-15,PriceCatcher: Premise Lookup,Prices,Consumer Prices,PriceCatcher: Jadual Carian Premis,Harga,Harga Pengguna,"KPDN, DOSM",INFREQUENT,DISTRICT,,2022,2025
population_dun,2023-10-02,Population Table: State Legislative Assemblies (DUNs),Demography,Population,Jadual Penduduk: Dewan Undangan Negeri (DUN),Demografi,Penduduk,DOSM,YEARLY,DUN,"SEX, ETHNICITY",2020,2024
population_district,2023-10-02,Population Table: Administrative Districts,Demography,Population,Jadual Penduduk: Daerah Pentadbiran,Demografi,Penduduk,DOSM,YEARLY,DISTRICT,"SEX, ETHNICITY, AGE",2020,2025
population_parlimen,2023-10-02,Population Table: Parliamentary Constituencies,Demography,Population,Jadual Penduduk: Kawasan Parlimen,Demografi,Penduduk,DOSM,YEARLY,PARLIMEN,"SEX, ETHNICITY",2020,2024
population_malaysia,2023-10-02,Population Table: Malaysia,Demography,Population,Jadual Penduduk: Malaysia,Demografi,Penduduk,DOSM,YEARLY,NATIONAL,"SEX, ETHNICITY, AGE",1970,2026
hies_district,2023-10-06,Household Income and Expenditure: Administrative Districts,Households,Expenditure,Pendapatan dan Perbelanjaan Isi Rumah: Daerah Pentadbiran,Isi Rumah,Perbelanjaan,DOSM,YEARLY,DISTRICT,,2022,2024
hies_state,2023-10-06,Household Income and Expenditure: States,Households,Expenditure,Pendapatan dan Perbelanjaan Isi Rumah: Negeri,Isi Rumah,Perbelanjaan,DOSM,YEARLY,STATE,,2022,2024
fuelprice,2023-10-11,Price of Petroleum & Diesel,Prices,Commodity Prices,Harga Petrol & Diesel,Harga,Harga Komoditi,MOF,WEEKLY,NATIONAL,,2017,2025
msic,2023-10-15,MSIC,Data Dictionaries,National,MSIC,Kamus Data,Nasional,DOSM,INFREQUENT,NATIONAL,,2008,2023
